fdc_id,description,carbs_g,calories,protein_g,fat_g
323667,Egg whites,,,,0.17
323672,Egg whites,,,,0.11
323677,Egg whites,,,,0.16
323682,Egg whites,,,,0.23
323690,Egg whites,,,,0.17
323695,Egg whites,,,,0.26
323697,"Egg, white, raw, frozen, pasteurized",0.74,124.5,10.1,0.16
323703,"Egg whites, dried",,,,0.34
323708,"Egg whites, dried",,,,0.58
323716,"Egg whites, dried",,,,0.59
323721,"Egg whites, dried",,,,0.51
323727,"Egg whites, dried",,,,0.54
323733,"Egg whites, dried",,,,0.72
323740,"Egg whites, dried",,,,0.61
323745,"Egg whites, dried",,,,0.63
323751,"Egg whites, dried",,,,0.8
323757,"Egg whites, dried",,,,0.82
323764,"Egg whites, dried",,,,0.68
323772,"Egg whites, dried",,,,0.79
323778,"Egg whites, dried",,,,0.8
323784,"Egg whites, dried",,,,0.73
323790,"Egg whites, dried",,,,0.6
323793,"Egg, white, dried",6.02,973.0,79.9,0.65
323800,Salsa,,,,0.3
323808,Salsa,,,,0.2
323816,Salsa,,,,0.1
323824,Salsa,,,,0.2
323831,Salsa,,,,0.2
323839,Salsa,,,,0.2
323845,Salsa,,,,0.1
323853,Salsa,,,,0.3
323861,Salsa,,,,0.2
323869,Salsa,,,,0.2
323877,Salsa,,,,0.2
323885,Salsa,,,,0.3
323893,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (FL,MO) - NFY090KVT",,,,0.1
323902,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (CO,CT) - NFY090KVK",,,,0.2
323911,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (AL,CA1) - NFY090KUN",,,,0.1
323922,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (IN,NY) - NFY090KU1",,,,0.2
323939,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (CA2,NC) - NFY090KUZ",,,,0.2
323955,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (MI,OK) - NFY090KW5",,,,0.2
323969,"Proximates, Salsa, PACE CHUNKY, MEDIUM (AL,CA1) - NFY090KXG",,,,0.1
323979,"Proximates, Salsa, PACE CHUNKY, MEDIUM (IN,NY) - NFY090KWU",,,,0.2
323996,"Proximates, Salsa, PACE CHUNKY, MEDIUM (CA2,NC) - NFY090KXS",,,,0.2
324009,"Proximates, Salsa, PACE CHUNKY, MEDIUM (CO,CT) - NFY090KYD",,,,0.1
324018,"Proximates, Salsa, PACE CHUNKY, MEDIUM (FL,MO) - NFY090KYM",,,,0.2
324029,"Proximates, Salsa, PACE CHUNKY, MEDIUM (MI,OK) - NFY090KYY",,,,0.2
324038,"Sauce, salsa, ready-to-serve",6.74,75.5,1.44,0.19
324051,"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS",,,,29.7
324062,"BEEF BREAKFAST SAUSAGE, ECKRICH SAUSAGE LINKS",,,,25.4
324081,"BEEF BREAKFAST SAUSAGE, ECKRICH SAUSAGE LINKS",,,,28.2
